Inc: IA No,Inc: Incident type,Inc: Received date,OffSnp: Title/rank,Off: First name,Off: Last name,Alg: Allegation,Alg: Finding,Act: Action taken,Act: Days/hours suspended,Act: Action taken date,Inc: Occurred date
IAD2013-0370,Citizen complaint,09/09/2013,"Police Officer
Police Officer
Police Officer
Police Officer","Paul J
Paul J
Roger C.
Roger C.","Passanisi
Passanisi
Converse
Converse","Police Service
Neg.Duty/Unreasonable Judge
Police Service
Neg.Duty/Unreasonable Judge","Sustained
Sustained
Sustained
Sustained","Oral Reprimand
Oral Reprimand
Oral Reprimand
Oral Reprimand","0
0
0
0","06/30/2016
06/30/2016
07/06/2016
07/06/2016",07/12/2013
IAD2013-0371,Citizen complaint,09/06/2013,Police Officer,John A,Conway,Neg.Duty/Unreasonable Judge,Sustained,Oral Reprimand,,07/22/2020,09/05/2013
IAD2013-0372,Citizen complaint,09/09/2013,"Police Officer
Police Officer
Detective","Donald
Daren A.
Robert M","Nicholas
Bradshaw
Charbonnier","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,08/26/2013
IAD2013-0373,Citizen complaint,09/09/2013,Detective,Charles M,Johnson,Conduct Unbecoming,Unfounded,,,,09/08/2013
IAD2013-0374,Citizen complaint,09/10/2013,"Police Officer
Police Officer","Frederick D
Frederick D","Rice
Rice","Neg.Duty/Unreasonable Judge
Respectful Treatment","Exonerated
Unfounded",,"0
0",,09/09/2013
IAD2013-0375,Citizen complaint,09/10/2013,"Lieutenant
Lieutenant","Sean
Sean","Flaherty
Flaherty","Respectful Treatment
Neg.Duty/Unreasonable Judge","Sustained
Sustained","Oral Reprimand
Oral Reprimand","0
0","07/12/2016
07/12/2016",09/09/2013
IAD2013-0376,Citizen complaint,09/10/2013,Lieutenant,Daryle Patrick,Dwan,Respectful Treatment,Not Sustained,,,,09/09/2013
IAD2013-0377,Citizen complaint,09/12/2013,"Police Officer
Police Officer
Detective
Police Officer","Dennis M.
Dennis M.
Brian L
James","Medina
Medina
Ball
Conley","Respectful Treatment
Neg.Duty/Unreasonable Judge Bias
Respectful Treatment Bias
Respectful Treatment Bias","Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0",,09/12/2013
IAD2013-0378,Citizen complaint,09/10/2013,"Police Officer
Police Officer","Brendan O.
Michael Colin","McIntyre
Doherty","Use of Force
Use of Force","Exonerated
Exonerated",,"0
0",,09/07/2013
IAD2013-0380,Citizen complaint,09/13/2013,"Sergeant Detective
Police Officer","Mark L
John K","Assad
Rogers","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Not Sustained",,"0
0",,05/30/2013
IAD2013-0381,Citizen complaint,09/13/2013,Police Officer,Robertkly,Joseph,Respectful Treatment,Not Sustained,,,,08/10/2013
IAD2013-0382,Citizen complaint,09/12/2013,"Police Officer
Sergeant Detective
Detective","Richard J.
Kim L.
Gloria D","Fleming
Gaddy
Kinkead","Respectful Treatment
Respectful Treatment
Respectful Treatment","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,12/24/2012
IAD2013-0383,Citizen complaint,09/16/2013,Police Officer,James F.,Davis,Respectful Treatment,Not Sustained,,,,09/15/2013
IAD2013-0385,Citizen complaint,09/16/2013,Police Officer,Domingo R,Montiero,Respectful Treatment,Not Sustained,,,,09/15/2013
IAD2013-0386,Citizen complaint,09/16/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Samora F
Samora F
Samora F
Derek
Derek
Derek","Lopes
Lopes
Lopes
Kelley
Kelley
Kelley","Respectful Treatment
Self Identification
Abuse of Process
Self Identification
Abuse of Process
Respectful Treatment","Not Sustained
Unfounded
Unfounded
Unfounded
Unfounded
Not Sustained",,"0
0
0
0
0
0",,09/06/2013
IAD2013-0388,Citizen complaint,09/19/2013,"Police Officer
Police Officer
Police Officer
Police Officer","Ildo D
Ildo D
Humberto
Humberto","Goncalves
Goncalves
DaVeiga
DaVeiga","Respectful Treatment
Neg.Duty/Unreasonable Judge
Respectful Treatment
Neg.Duty/Unreasonable Judge","Unfounded
Exonerated
Unfounded
Exonerated",,"0
0
0
0",,09/14/2013
IAD2013-0389,Citizen complaint,09/18/2013,Police Officer,Ernest,Desroches,Respectful Treatment,Not Sustained,,,,09/18/2013
IAD2013-0390,Citizen complaint,09/20/2013,"Police Officer
Police Officer","Nicole W
Shandra Lee","LaPointe
Pinto","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated",,"0
0",,03/21/2013
IAD2013-0393,Citizen complaint,09/22/2013,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,09/22/2013
IAD2013-0395,Citizen complaint,09/24/2013,Police Officer,,Unknown,Use of Force,Unfounded,,,,05/20/2013
IAD2013-0396,Internal investigation,09/25/2013,"Detective
Detective","Stephen G
Stephen T","Kelly
O'brien","Directives/Orders
Directives/Orders","Sustained
Sustained","Oral Reprimand
Oral Reprimand","0
0","09/25/2013
09/25/2013",09/03/2013
IAD2013-0397,Citizen complaint,09/25/2013,Police Officer,John P.,Quinn,Use of Force (2 counts),Not Sustained,,,,09/22/2013
IAD2013-0398,Citizen complaint,09/25/2013,Police Officer,Frederick M,Mendes,Respectful Treatment,Not Sustained,,,,09/25/2013
IAD2013-0399,Citizen complaint,09/22/2013,Police Officer,Kendra J,Conway,Respectful Treatment,Unfounded,,,,09/22/2013
IAD2013-0400,Citizen complaint,09/24/2013,Police Officer,,Unknown,Neg.Duty/Unreasonable Judge,Not Sustained,,,,09/21/2013
IAD2013-0401,Citizen complaint,09/24/2013,"Police Officer
Police Officer",,"Unknown
Unknown","Conduct Unbecoming
Abuse of Process","Not Sustained
Not Sustained",,"0
0",,09/23/2013
IAD2013-0403,Citizen complaint,09/25/2013,Detective,Stephen C.,Mcmanus,Abuse of Process,Unfounded,,,,
IAD2013-0404,Citizen complaint,09/26/2013,"Police Officer
Police Officer","Harry
Mary F","Bazile
Dibella","Respectful Treatment
Self Identification","Not Sustained
Not Sustained",,"0
0",,07/01/2013
IAD2013-0405,Citizen complaint,09/26/2013,"Police Officer
Police Officer","Allison
Allison","Eng
Eng","Conduct Unbecoming (2 counts)
Conduct Unbecoming","Not Sustained
Sustained","Written Reprimand
Written Reprimand","0
0","12/23/2015
12/23/2015",09/05/2013
IAD2013-0406,Citizen complaint,09/27/2013,Police Officer,Tarus Jay,Jefferson,Respectful Treatment,Not Sustained,,,,09/27/2013
IAD2013-0407,Citizen complaint,09/27/2013,"Police Officer
Police Officer","David
David","Roberto
Roberto","Neg.Duty/Unreasonable Judge
Self Identification","Unfounded
Unfounded",,"0
0",,09/27/2013
IAD2013-0408,Citizen complaint,09/26/2013,Police Officer,Juana V,Hernandez,Conduct Unbecoming,Unfounded,,,,09/26/2013
IAD2013-0410,Citizen complaint,10/01/2013,Police Officer,Lamont,Anderson,Respectful Treatment,Unfounded,,,,09/29/2013
IAD2013-0413,Citizen complaint,10/02/2013,Police Officer,Sara D.,Dorsey,Respectful Treatment,Unfounded,,,,10/01/2013
IAD2013-0414,Citizen complaint,10/03/2013,"Police Officer
Detective
Detective","Gerald
Andrew C
Andrew C","Cahill
Miskell
Miskell","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated
Sustained","Oral Reprimand
Oral Reprimand","0
0
0","03/06/2020
03/06/2020",10/02/2013
IAD2013-0415,Internal investigation,10/03/2013,Police Officer,Sandro,Fonseca,Reporting for Duty,Sustained,Oral Reprimand,,10/04/2013,07/05/2013
IAD2013-0416,Internal investigation,10/03/2013,Police Officer,Evon F,Burke,Reporting for Duty,Sustained,Oral Reprimand,,10/04/2013,07/05/2013
IAD2013-0417,Citizen complaint,10/03/2013,Sergeant,James F,Meredith,Neg.Duty/Unreasonable Judge,Sustained,Suspension,5,04/10/2025,10/03/2013
IAD2013-0418,Citizen complaint,10/03/2013,Police Officer,Roger D.,Layden Jr.,Neg.Duty/Unreasonable Judge,Not Sustained,,,,10/02/2013
IAD2013-0419,Citizen complaint,10/06/2013,Police Officer,Merica,Guillaume,Use of Force,Unfounded,,,,10/05/2013
IAD2013-0420,Internal investigation,10/08/2013,Sergeant Detective,Thomas J.,O'leary,Accountability,Exonerated,,,,09/26/2013
IAD2013-0421,Citizen complaint,10/08/2013,"Police Officer
Police Officer
Police Officer
Police Officer","Jeffrey C
Jeffrey C
Kevin R
Kevin R","Connolly
Connolly
Plunkett
Plunkett","Neg.Duty/Unreasonable Judge (2 counts)
Neg.Duty/Unreasonable Judge Bias
Neg.Duty/Unreasonable Judge Bias
Neg.Duty/Unreasonable Judge","Exonerated
Unfounded
Unfounded
Exonerated",,"0
0
0
0",,10/06/2013
IAD2013-0422,Citizen complaint,10/08/2013,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,10/05/2013
IAD2013-0423,Citizen complaint,10/08/2013,Police Officer,Timothy R.,Hicks,Respectful Treatment,Exonerated,,,,10/08/2013
IAD2013-0425,Internal investigation,10/11/2013,"Police Officer
Police Officer","Daniel
Daniel","Mcnamara
Mcnamara","Respectful Treatment
Conduct Unbecoming","Sustained
Sustained","Suspension
Suspension","1
1","02/09/2015
02/09/2015",10/05/2013
IAD2013-0427,Internal investigation,10/13/2013,Police Officer,Joseph,Downing,Conduct Unbecoming,Not Sustained,,,,10/12/2013
IAD2013-0428,Citizen complaint,10/15/2013,"Police Officer
Police Officer","Christopher R.
William J","Steele
Cullinane","Respectful Treatment
Respectful Treatment","Unfounded
Sustained",Counselling,"0
0",11/01/2013,10/12/2013
IAD2013-0429,Citizen complaint,10/15/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Matthew F.
Matthew F.
Matthew F.
Matthew M.
Matthew M.
Matthew M.","Becker
Becker
Becker
Ross
Ross
Ross","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Use of Force
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Use of Force","Exonerated
Unfounded
Not Sustained
Exonerated
Unfounded
Not Sustained",,"0
0
0
0
0
0",,09/29/2013
IAD2013-0430,Citizen complaint,10/15/2013,Sergeant,Gerald,Cahill,Abuse of Process,Exonerated,,,,10/12/2010
IAD2013-0431,Citizen complaint,10/16/2013,Police Officer,Joseph L.,Coppinger,Respectful Treatment,Exonerated,,,,10/15/2013
IAD2013-0432,Internal investigation,10/16/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Frederick G
Frederick G
Frederick G
Frederick G
Frederick G
Frederick G","Marzano
Marzano
Marzano
Marzano
Marzano
Marzano","Conformance to Laws (4 counts)
Pointing Firearms (2 counts)
Conformance to Laws (1 count)
Respectful Treatment (2 counts)
Conduct Unbecoming (4 counts)
Conduct Unbecoming (1 count)","Sustained
Sustained
Not Sustained
Sustained
Sustained
Not Sustained","Retired with Charges Pending
Retired with Charges Pending
Retired with Charges Pending
Retired with Charges Pending
Retired with Charges Pending
Retired with Charges Pending","0
0
0
0
0
0","03/15/2015
03/15/2015
03/15/2015
03/15/2015
03/15/2015
03/15/2015",10/14/2013
IAD2013-0433,Citizen complaint,10/15/2013,Sergeant Detective,William E,Doogan,Conduct Unbecoming,Not Sustained,,,,10/15/2013
IAD2013-0434,Citizen complaint,10/16/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Darryn L
Darryn L
Daniel S
Daniel S
Timothy Andrew
","Brown
Brown
O'Donnell
O'Donnell
Brady
Unknown","Respectful Treatment
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Respectful Treatment
Neg.Duty/Unreasonable Judge
Respectful Treatment","Not Sustained
Unfounded
Unfounded
Not Sustained
Unfounded
Not Sustained",,"0
0
0
0
0
0",,10/15/2013
IAD2013-0436,Internal investigation,10/17/2013,"Police Officer
Police Officer
Police Officer
Police Officer","Mila S
Mila S
Mila S
Mila S","Depina-Cooley
Depina-Cooley
Depina-Cooley
Depina-Cooley","Untruthfulness
Conformance to Laws
Conduct Unbecoming
Association with Criminals","Sustained
Sustained
Sustained
Sustained","Termination
Termination
Termination
Termination","0
0
0
0","07/31/2024
07/31/2024
07/31/2024
07/31/2024",12/07/2010
IAD2013-0437,Internal investigation,10/21/2013,"Detective
Detective
Police Officer
Police Officer","James A
James A
Andrew J.
John P.","Coyne
Coyne
Fay
Quinn","Neg.Duty/Unreasonable Judge (2 counts)
Untruthfulness
Neg.Duty/Unreasonable Judge (2 counts)
Neg.Duty/Unreasonable Judge","Sustained
Sustained
Sustained
Sustained","Retired with Charges Pending
Retired with Charges Pending
Suspension
Suspension","0
0
0
4","08/30/2019
08/30/2019
06/13/2022
03/05/2025",04/18/2013
IAD2013-0439,Citizen complaint,10/22/2013,Detective,William Leo,Parlon,Respectful Treatment,Not Sustained,,,,10/07/2013
IAD2013-0443,Citizen complaint,10/24/2013,"Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant
Lieutenant
Sergeant Detective
Sergeant Detective
Sergeant Detective
Sergeant Detective
Sergeant Detective
Sergeant Detective
Sergeant Detective
Sergeant Detective
Sergeant Detective
Sergeant Detective
Sergeant Detective
Sergeant Detective
Sergeant Detective","Charles G
Charles G
Charles G
Charles G
Charles G
Charles G
Charles G
Charles G
Charles G
Charles G
Charles G
Charles G
Charles G
Charles G
Thomas E
Thomas E
Thomas E
Thomas E
Thomas E
Thomas E
Thomas E
Thomas E
Thomas E
Thomas E
Thomas E
Thomas E
Thomas E","Kelly
Kelly
Kelly
Kelly
Kelly
Kelly
Kelly
Kelly
Kelly
Kelly
Kelly
Kelly
Kelly
Kelly
Lembo
Lembo
Lembo
Lembo
Lembo
Lembo
Lembo
Lembo
Lembo
Lembo
Lembo
Lembo
Lembo","Leaves of Absence
Conduct Unbecoming
Directives/Orders
Police Service
Conformance to Laws
Public Integrity Policy
Canon One
Canon Two
Canon Four
Canon Five
Canon Six
Canon Seven
Canon Ten
Conformance to Laws (3 counts)
Conformance to Laws (3 counts)
Conduct Unbecoming
Directives/Orders
Police Service
Conformance to Laws
Public Integrity Policy
Canon One
Canon Two
Canon Four
Canon Five
Canon Six
Canon Seven
Canon Ten","Exonerated
Exonerated
Unfounded
Exonerated
Unfounded
Exonerated
Exonerated
Exonerated
Exonerated
Exonerated
Exonerated
Exonerated
Exonerated
Unfounded
Unfounded
Exonerated
Unfounded
Exonerated
Unfounded
Unfounded
Exonerated
Unfounded
Exonerated
Exonerated
Unfounded
Unfounded
Exonerated",,"0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0",,10/24/2013
IAD2013-0447,Internal investigation,10/25/2013,Lieutenant,John W,Earley,Neg.Duty/Unreasonable Judge,Exonerated,,,,10/13/2013
IAD2013-0448,Citizen complaint,10/28/2013,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,10/19/2013
IAD2013-0449,Citizen complaint,10/28/2013,Lieutenant,Charles G,Kelly,Respectful Treatment,Exonerated,,,,10/24/2013
IAD2013-0451,Citizen complaint,10/30/2013,"Police Officer
Police Officer
Police Officer","Francesco
Francesco
Francesco","Recupero
Recupero
Recupero","Respectful Treatment
Neg.Duty/Unreasonable Judge
Self Identification","Exonerated
Exonerated
Not Sustained",,"0
0
0",,10/29/2013
IAD2013-0452,Internal investigation,10/29/2013,Police Officer,John M.,Bresnahan,Neg.Duty/Unreasonable Judge,Sustained,Oral Reprimand,,12/01/2013,10/25/2013
IAD2013-0460,Citizen complaint,11/04/2013,Detective,Nicholas G.,Moore,Neg.Duty/Unreasonable Judge,Exonerated,,,,11/01/2013
IAD2013-0461,Internal investigation,11/04/2013,"Sergeant
Sergeant
Sergeant
Sergeant
Sergeant
Sergeant
Sergeant
Sergeant
Police Officer
Police Officer
Police Officer
Police Officer","Martin B
Martin B
Martin B
Martin B
Martin B
Martin B
Martin B
Martin B
Jeffrey
Jeffrey
Patrick W
Patrick W","Kraft
Kraft
Kraft
Kraft
Kraft
Kraft
Kraft
Kraft
Quinchia
Quinchia
Wood
Wood","Reporting for Duty
Reporting for Duty
Court Appearance Forms
Court Appearance Forms
Courts - Failure to appear when summonsed
Courts - Failure to appear when summonsed
Courts - Failure to appear when summonsed
Courts - Failure to appear when summonsed
Courts - Failure to appear when summonsed (3 counts)
Neg.Duty/Unreasonable Judge (2 counts)
Neg.Duty/Unreasonable Judge (2 counts)
Courts - Failure ot appear when summonsed (4 counts)","Exonerated
Exonerated
Sustained
Sustained
Sustained
Sustained
Not Sustained
Not Sustained
Sustained
Sustained
Sustained
Sustained","Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension/Settlement Agreement
Suspension/Settlement Agreement
Suspension/Settlement Agreement
Suspension/Settlement Agreement","35
45
35
45
35
45
35
45
1
1
1
1","07/02/2014
07/02/2014
07/02/2014
07/02/2014
07/02/2014
07/02/2014
07/02/2014
07/02/2014
07/07/2015
07/07/2015
07/07/2015
07/07/2015",10/31/2013
IAD2013-0466,Citizen complaint,11/05/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Javier A.
Javier A.
Javier A.
Serge A.
Serge A.
Serge A.","Velasquez
Velasquez
Velasquez
Sanon
Sanon
Sanon","Use of Force
Respectful Treatment
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Use of Force
Respectful Treatment","Not Sustained
Not Sustained
Unfounded
Unfounded
Not Sustained
Not Sustained",,"0
0
0
0
0
0",,11/03/2013
IAD2013-0467,Internal investigation,11/06/2013,Sergeant,Paul M,Joseph,Neg.Duty/Unreasonable Judge,Sustained,Oral Reprimand,,12/04/2013,11/05/2013
IAD2013-0468,Citizen complaint,11/06/2013,Police Officer,Evon J,Burroughs,Respectful Treatment,Unfounded,,,,11/05/2013
IAD2013-0470,Citizen complaint,11/07/2013,"Police Officer
Police Officer","Harold
Amy","TIBETS
Hamilton","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,10/25/2013
IAD2013-0473,Citizen complaint,12/03/2013,Detective,Thomas,Kelley,Neg.Duty/Unreasonable Judge,Exonerated,,,,
IAD2013-0476,Citizen complaint,11/12/2013,Detective,Peter L,Mccarthy,Respectful Treatment,Unfounded,,,,11/12/2013
IAD2013-0477,Citizen complaint,11/12/2013,"Sergeant Detective
Sergeant Detective
Detective","John A
John A
Richard A.","Rouvalis
Rouvalis
Walker","Respectful Treatment
Unreasonable Judgement
Respectful Treatment","Not Sustained
Not Sustained
Unfounded",,"0
0
0",,11/07/2013
IAD2013-0479,Citizen complaint,11/13/2013,Police Officer,Yong W.,Lee,Respectful Treatment,Unfounded,,,,11/06/2013
IAD2013-0480,Citizen complaint,11/14/2013,Police Officer,John A,Conway,Respectful Treatment,Not Sustained,,,,
IAD2013-0481,Citizen complaint,11/14/2013,Police Officer,,Unknown,Neg.Duty/Unreasonable Judge,Not Sustained,,,,11/13/2013
IAD2013-0485,Citizen complaint,11/19/2013,"Police Officer
Police Officer
Police Officer","Jose L
David
David","Acosta
Mcbride
Mcbride","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Self Identification","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,11/17/2013
IAD2013-0486,Citizen complaint,11/18/2013,Police Officer,Michael P,Pankievich,Respectful Treatment,Sustained,Oral Reprimand,,12/18/2019,10/30/2013
IAD2013-0488,Internal investigation,11/15/2013,"Police Officer
Police Officer","Anthony M.
Anthony M.","Alexis
Alexis","Conformance to Laws
Conduct Unbecoming","Not Sustained
Not Sustained",,"0
0",,11/15/2013
IAD2013-0489,Citizen complaint,11/20/2013,"Police Officer
Police Officer
Police Officer","Ramon M.
Ramon M.
Ramon M.","Kelly-Chalas
Kelly-Chalas
Kelly-Chalas","Conduct Unbecoming 
Respectful Treatment (3 counts)
Conduct Unbecoming","Not Sustained
Not Sustained
Unfounded",,"0
0
0",,11/16/2013
IAD2013-0490,Citizen complaint,11/21/2013,"Police Officer
Police Officer
Police Officer
Police Officer","Dudley N
Dudley N
Matthew
Matthew","Hill
Hill
Delorey
Delorey","Respectful Treatment
Use of Force
Use of Force
Respectful Treatment","Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0",,02/24/2012
IAD2013-0492,Citizen complaint,11/21/2013,Police Officer,Gregory L,Vickers,Respectful Treatment,Not Sustained,,,,11/14/2013
IAD2013-0494,Internal investigation,11/25/2013,Police Officer,Michael,Manning,Drug Test,Sustained,Retired with Charges Pending,,09/09/2013,07/16/2013
